date,city,description
2012-10-04,Eilat,sky is clear
2012-10-04,Haifa,sky is clear
2012-10-04,Houston,mist
2012-10-04,Indianapolis,mist
2012-10-04,Jacksonville,broken clouds
2012-10-04,Jerusalem,sky is clear
2012-10-04,Kansas City,sky is clear
2012-10-04,Las Vegas,sky is clear
2012-10-04,Los Angeles,sky is clear
2012-10-04,Miami,broken clouds
2012-10-04,Minneapolis,sky is clear
2012-10-04,Montreal,sky is clear
2012-10-04,Nahariyya,sky is clear
2012-10-04,Nashville,scattered clouds
2012-10-04,New York,mist
2012-10-04,Philadelphia,fog
2012-10-04,Phoenix,sky is clear
2012-10-04,Pittsburgh,sky is clear
2012-10-04,Portland,sky is clear
2012-10-04,Saint Louis,light rain
2012-10-04,San Antonio,sky is clear
2012-10-04,San Diego,few clouds
2012-10-04,San Francisco,sky is clear
2012-10-04,Seattle,sky is clear
2012-10-04,Tel Aviv District,sky is clear
2012-10-04,Toronto,sky is clear
2012-10-04,Vancouver,sky is clear
2012-10-05,Albuquerque,sky is clear
2012-10-05,Atlanta,sky is clear
2012-10-05,Beersheba,sky is clear
2012-10-05,Boston,mist
2012-10-05,Charlotte,mist
2012-10-05,Chicago,sky is clear
2012-10-05,Dallas,sky is clear
2012-10-05,Denver,sky is clear
2012-10-05,Detroit,sky is clear
2012-10-05,Eilat,sky is clear
2012-10-05,Haifa,sky is clear
2012-10-05,Houston,mist
2012-10-05,Indianapolis,scattered clouds
2012-10-05,Jacksonville,mist
2012-10-05,Jerusalem,sky is clear
2012-10-05,Kansas City,sky is clear
2012-10-05,Las Vegas,sky is clear
2012-10-05,Los Angeles,sky is clear
2012-10-05,Miami,sky is clear
2012-10-05,Minneapolis,overcast clouds
2012-10-05,Montreal,mist
2012-10-05,Nahariyya,sky is clear
2012-10-05,Nashville,sky is clear
2012-10-05,New York,fog
2012-10-05,Philadelphia,mist
2012-10-05,Phoenix,sky is clear
2012-10-05,Pittsburgh,broken clouds
2012-10-05,Portland,sky is clear
2012-10-05,Saint Louis,sky is clear
2012-10-05,San Antonio,sky is clear
2012-10-05,San Diego,mist
2012-10-05,San Francisco,few clouds
2012-10-05,Seattle,sky is clear
2012-10-05,Tel Aviv District,scattered clouds
2012-10-05,Toronto,sky is clear
2012-10-05,Vancouver,sky is clear
2012-10-06,Albuquerque,scattered clouds
2012-10-06,Atlanta,sky is clear
2012-10-06,Beersheba,sky is clear
2012-10-06,Boston,sky is clear
2012-10-06,Charlotte,scattered clouds
2012-10-06,Chicago,overcast clouds
2012-10-06,Dallas,broken clouds
2012-10-06,Denver,overcast clouds
2012-10-06,Detroit,overcast clouds
2012-10-06,Eilat,sky is clear
2012-10-06,Haifa,sky is clear
2012-10-06,Houston,mist
2012-10-06,Indianapolis,light rain
2012-10-06,Jacksonville,light rain
2012-10-06,Jerusalem,sky is clear
2012-10-06,Kansas City,overcast clouds
2012-10-06,Las Vegas,sky is clear
2012-10-06,Los Angeles,sky is clear
2012-10-06,Miami,broken clouds
2012-10-06,Minneapolis,overcast clouds
2012-10-06,Montreal,sky is clear
2012-10-06,Nahariyya,sky is clear
2012-10-06,Nashville,sky is clear
2012-10-06,New York,fog
2012-10-06,Philadelphia,mist
2012-10-06,Phoenix,sky is clear
2012-10-06,Pittsburgh,sky is clear
2012-10-06,Portland,sky is clear
2012-10-06,Saint Louis,light rain
2012-10-06,San Antonio,sky is clear
2012-10-06,San Diego,broken clouds
2012-10-06,San Francisco,mist
2012-10-06,Seattle,sky is clear
2012-10-06,Tel Aviv District,scattered clouds
2012-10-06,Toronto,sky is clear
2012-10-06,Vancouver,sky is clear
2012-10-07,Albuquerque,sky is clear
2012-10-07,Atlanta,sky is clear
2012-10-07,Beersheba,sky is clear
2012-10-07,Boston,sky is clear
2012-10-07,Charlotte,mist
2012-10-07,Chicago,sky is clear
2012-10-07,Dallas,overcast clouds
2012-10-07,Denver,mist
2012-10-07,Detroit,overcast clouds
2012-10-07,Eilat,sky is clear
2012-10-07,Haifa,sky is clear
2012-10-07,Houston,sky is clear
2012-10-07,Indianapolis,broken clouds
2012-10-07,Jacksonville,mist
2012-10-07,Jerusalem,sky is clear
2012-10-07,Kansas City,sky is clear
2012-10-07,Las Vegas,sky is clear
2012-10-07,Los Angeles,sky is clear
2012-10-07,Miami,broken clouds
2012-10-07,Minneapolis,overcast clouds
2012-10-07,Montreal,light rain
2012-10-07,Nahariyya,sky is clear
2012-10-07,Nashville,broken clouds
2012-10-07,New York,broken clouds
2012-10-07,Philadelphia,sky is clear
2012-10-07,Phoenix,broken clouds
2012-10-07,Pittsburgh,broken clouds
2012-10-07,Portland,sky is clear
2012-10-07,Saint Louis,sky is clear
2012-10-07,San Antonio,sky is clear
2012-10-07,San Diego,broken clouds
2012-10-07,San Francisco,scattered clouds
2012-10-07,Seattle,sky is clear
2012-10-07,Tel Aviv District,sky is clear
2012-10-07,Toronto,sky is clear
2012-10-07,Vancouver,sky is clear
2012-10-08,Albuquerque,sky is clear
2012-10-08,Atlanta,sky is clear
2012-10-08,Beersheba,sky is clear
2012-10-08,Boston,sky is clear
2012-10-08,Charlotte,overcast clouds
2012-10-08,Chicago,overcast clouds
2012-10-08,Dallas,overcast clouds
2012-10-08,Denver,overcast clouds
2012-10-08,Detroit,overcast clouds
2012-10-08,Eilat,sky is clear
2012-10-08,Haifa,sky is clear
2012-10-08,Houston,overcast clouds
2012-10-08,Indianapolis,overcast clouds
2012-10-08,Jacksonville,mist
2012-10-08,Jerusalem,sky is clear
2012-10-08,Kansas City,sky is clear
2012-10-08,Las Vegas,sky is clear
2012-10-08,Los Angeles,sky is clear
2012-10-08,Miami,light rain
2012-10-08,Minneapolis,few clouds
2012-10-08,Montreal,sky is clear
2012-10-08,Nahariyya,sky is clear
2012-10-08,Nashville,overcast clouds
2012-10-08,New York,light rain
2012-10-08,Philadelphia,sky is clear
2012-10-08,Phoenix,sky is clear
2012-10-08,Pittsburgh,overcast clouds
2012-10-08,Portland,sky is clear
2012-10-08,Saint Louis,sky is clear
2012-10-08,San Antonio,overcast clouds
2012-10-08,San Diego,broken clouds
2012-10-08,San Francisco,few clouds
2012-10-08,Seattle,sky is clear
2012-10-08,Tel Aviv District,few clouds
2012-10-08,Toronto,sky is clear
2012-10-08,Vancouver,sky is clear
2012-10-09,Albuquerque,sky is clear
2012-10-09,Atlanta,overcast clouds
2012-10-09,Beersheba,sky is clear
2012-10-09,Boston,sky is clear
2012-10-09,Charlotte,overcast clouds
2012-10-09,Chicago,sky is clear
2012-10-09,Dallas,sky is clear
2012-10-09,Denver,sky is clear
2012-10-09,Detroit,sky is clear
2012-10-09,Eilat,sky is clear
2012-10-09,Haifa,sky is clear
2012-10-09,Houston,overcast clouds
2012-10-09,Indianapolis,few clouds
2012-10-09,Jacksonville,proximity thunderstorm
2012-10-09,Jerusalem,sky is clear
2012-10-09,Kansas City,sky is clear
2012-10-09,Las Vegas,sky is clear
2012-10-09,Los Angeles,sky is clear
2012-10-09,Miami,broken clouds
2012-10-09,Minneapolis,overcast clouds
2012-10-09,Montreal,sky is clear
2012-10-09,Nahariyya,sky is clear
2012-10-09,Nashville,overcast clouds
2012-10-09,New York,mist
2012-10-09,Philadelphia,mist
2012-10-09,Phoenix,sky is clear
2012-10-09,Pittsburgh,overcast clouds
2012-10-09,Portland,sky is clear
2012-10-09,Saint Louis,sky is clear
2012-10-09,San Antonio,overcast clouds
2012-10-09,San Diego,overcast clouds
2012-10-09,San Francisco,few clouds
2012-10-09,Seattle,sky is clear
2012-10-09,Tel Aviv District,scattered clouds
2012-10-09,Toronto,sky is clear
2012-10-09,Vancouver,sky is clear
2012-10-10,Albuquerque,sky is clear
2012-10-10,Atlanta,overcast clouds
2012-10-10,Beersheba,sky is clear
2012-10-10,Boston,sky is clear
2012-10-10,Charlotte,mist
2012-10-10,Chicago,broken clouds
2012-10-10,Dallas,sky is clear
2012-10-10,Denver,sky is clear
2012-10-10,Detroit,sky is clear
2012-10-10,Eilat,sky is clear
2012-10-10,Haifa,sky is clear
2012-10-10,Houston,overcast clouds
2012-10-10,Indianapolis,sky is clear
2012-10-10,Jacksonville,mist
2012-10-10,Jerusalem,sky is clear
2012-10-10,Kansas City,sky is clear
2012-10-10,Las Vegas,sky is clear
2012-10-10,Los Angeles,sky is clear
2012-10-10,Miami,broken clouds
2012-10-10,Minneapolis,overcast clouds
2012-10-10,Montreal,sky is clear
2012-10-10,Nahariyya,sky is clear
2012-10-10,Nashville,sky is clear
2012-10-10,New York,overcast clouds
2012-10-10,Philadelphia,light rain
2012-10-10,Phoenix,sky is clear
2012-10-10,Pittsburgh,sky is clear
2012-10-10,Portland,sky is clear
2012-10-10,Saint Louis,sky is clear
2012-10-10,San Antonio,overcast clouds
2012-10-10,San Diego,few clouds
2012-10-10,San Francisco,few clouds
2012-10-10,Seattle,sky is clear
2012-10-10,Tel Aviv District,few clouds
2012-10-10,Toronto,sky is clear
2012-10-10,Vancouver,sky is clear
2012-10-11,Albuquerque,sky is clear
2012-10-11,Atlanta,sky is clear
2012-10-11,Beersheba,sky is clear
2012-10-11,Boston,sky is clear
2012-10-11,Charlotte,sky is clear
2012-10-11,Chicago,sky is clear
2012-10-11,Dallas,sky is clear
2012-10-11,Denver,sky is clear
2012-10-11,Detroit,overcast clouds
2012-10-11,Eilat,sky is clear
2012-10-11,Haifa,sky is clear
2012-10-11,Houston,sky is clear
2012-10-11,Indianapolis,sky is clear
2012-10-11,Jacksonville,sky is clear
2012-10-11,Jerusalem,sky is clear
2012-10-11,Kansas City,sky is clear
2012-10-11,Las Vegas,sky is clear
2012-10-11,Los Angeles,sky is clear
2012-10-11,Miami,sky is clear
2012-10-11,Minneapolis,sky is clear
2012-10-11,Montreal,sky is clear
2012-10-11,Nahariyya,sky is clear
2012-10-11,Nashville,sky is clear
2012-10-11,New York,sky is clear
2012-10-11,Philadelphia,sky is clear
2012-10-11,Phoenix,sky is clear
2012-10-11,Pittsburgh,sky is clear
2012-10-11,Portland,sky is clear
2012-10-11,Saint Louis,sky is clear
2012-10-11,San Antonio,overcast clouds
2012-10-11,San Diego,sky is clear
2012-10-11,San Francisco,sky is clear
2012-10-11,Seattle,sky is clear
2012-10-11,Tel Aviv District,sky is clear
2012-10-11,Toronto,sky is clear
2012-10-11,Vancouver,sky is clear
2012-10-12,Albuquerque,sky is clear
2012-10-12,Atlanta,sky is clear
2012-10-12,Beersheba,sky is clear
2012-10-12,Boston,mist
2012-10-12,Charlotte,sky is clear
2012-10-12,Chicago,sky is clear
2012-10-12,Dallas,broken clouds
2012-10-12,Denver,broken clouds
2012-10-12,Detroit,sky is clear
2012-10-12,Eilat,sky is clear
2012-10-12,Haifa,sky is clear
2012-10-12,Houston,scattered clouds
2012-10-12,Indianapolis,sky is clear
2012-10-12,Jacksonville,mist
2012-10-12,Jerusalem,sky is clear
2012-10-12,Kansas City,sky is clear
2012-10-12,Las Vegas,light rain
2012-10-12,Los Angeles,sky is clear
2012-10-12,Miami,scattered clouds
2012-10-12,Minneapolis,overcast clouds
2012-10-12,Montreal,broken clouds
2012-10-12,Nahariyya,sky is clear
2012-10-12,Nashville,sky is clear
2012-10-12,New York,sky is clear
2012-10-12,Philadelphia,sky is clear
2012-10-12,Phoenix,broken clouds
2012-10-12,Pittsburgh,sky is clear
2012-10-12,Portland,mist
2012-10-12,Saint Louis,sky is clear
2012-10-12,San Antonio,overcast clouds
2012-10-12,San Diego,scattered clouds
2012-10-12,San Francisco,overcast clouds
2012-10-12,Seattle,mist
2012-10-12,Tel Aviv District,sky is clear
2012-10-12,Toronto,sky is clear
2012-10-12,Vancouver,sky is clear
2012-10-13,Albuquerque,broken clouds
2012-10-13,Atlanta,sky is clear
2012-10-13,Beersheba,sky is clear
2012-10-13,Boston,sky is clear
2012-10-13,Charlotte,sky is clear
2012-10-13,Chicago,scattered clouds
2012-10-13,Dallas,mist
2012-10-13,Denver,sky is clear
2012-10-13,Detroit,sky is clear
2012-10-13,Eilat,sky is clear
2012-10-13,Haifa,sky is clear
2012-10-13,Houston,scattered clouds
2012-10-13,Indianapolis,few clouds
2012-10-13,Jacksonville,few clouds
2012-10-13,Jerusalem,sky is clear
2012-10-13,Kansas City,overcast clouds
2012-10-13,Las Vegas,sky is clear
2012-10-13,Los Angeles,broken clouds
2012-10-13,Miami,scattered clouds
2012-10-13,Minneapolis,sky is clear
2012-10-13,Montreal,sky is clear
2012-10-13,Nahariyya,sky is clear
2012-10-13,Nashville,mist
2012-10-13,New York,sky is clear
2012-10-13,Philadelphia,sky is clear
2012-10-13,Phoenix,scattered clouds
2012-10-13,Pittsburgh,sky is clear
2012-10-13,Portland,dust
2012-10-13,Saint Louis,broken clouds
2012-10-13,San Antonio,broken clouds
2012-10-13,San Diego,light rain
2012-10-13,San Francisco,broken clouds
2012-10-13,Seattle,mist
2012-10-13,Tel Aviv District,sky is clear
2012-10-13,Toronto,sky is clear
2012-10-13,Vancouver,sky is clear
2012-10-14,Albuquerque,scattered clouds
2012-10-14,Atlanta,sky is clear
2012-10-14,Beersheba,sky is clear
2012-10-14,Boston,sky is clear
2012-10-14,Charlotte,few clouds
2012-10-14,Chicago,overcast clouds
2012-10-14,Dallas,broken clouds
2012-10-14,Denver,broken clouds
2012-10-14,Detroit,sky is clear
2012-10-14,Eilat,sky is clear
2012-10-14,Haifa,sky is clear
2012-10-14,Houston,broken clouds
2012-10-14,Indianapolis,sky is clear
2012-10-14,Jacksonville,sky is clear
2012-10-14,Jerusalem,sky is clear
2012-10-14,Kansas City,mist
2012-10-14,Las Vegas,sky is clear
2012-10-14,Los Angeles,sky is clear
2012-10-14,Miami,scattered clouds
2012-10-14,Minneapolis,overcast clouds
2012-10-14,Montreal,sky is clear
2012-10-14,Nahariyya,sky is clear
2012-10-14,Nashville,mist
2012-10-14,New York,sky is clear
2012-10-14,Philadelphia,few clouds
2012-10-14,Phoenix,sky is clear
2012-10-14,Pittsburgh,sky is clear
2012-10-14,Portland,overcast clouds
2012-10-14,Saint Louis,mist
2012-10-14,San Antonio,overcast clouds
2012-10-14,San Diego,few clouds
2012-10-14,San Francisco,few clouds
2012-10-14,Seattle,overcast clouds
2012-10-14,Tel Aviv District,sky is clear
2012-10-14,Toronto,sky is clear
2012-10-14,Vancouver,mist
2012-10-15,Albuquerque,sky is clear
2012-10-15,Atlanta,sky is clear
2012-10-15,Beersheba,sky is clear
2012-10-15,Boston,sky is clear
2012-10-15,Charlotte,overcast clouds
2012-10-15,Chicago,mist
2012-10-15,Dallas,sky is clear
2012-10-15,Denver,broken clouds
2012-10-15,Detroit,mist
2012-10-15,Eilat,sky is clear
2012-10-15,Haifa,sky is clear
2012-10-15,Houston,broken clouds
2012-10-15,Indianapolis,overcast clouds
2012-10-15,Jacksonville,mist
2012-10-15,Jerusalem,sky is clear
2012-10-15,Kansas City,sky is clear
2012-10-15,Las Vegas,sky is clear
2012-10-15,Los Angeles,sky is clear
2012-10-15,Miami,light rain
2012-10-15,Minneapolis,mist
2012-10-15,Montreal,mist
2012-10-15,Nahariyya,sky is clear
2012-10-15,Nashville,scattered clouds
2012-10-15,New York,broken clouds
2012-10-15,Philadelphia,broken clouds
2012-10-15,Phoenix,sky is clear
2012-10-15,Pittsburgh,sky is clear
2012-10-15,Portland,overcast clouds
2012-10-15,Saint Louis,light rain
2012-10-15,San Antonio,overcast clouds
2012-10-15,San Diego,sky is clear
2012-10-15,San Francisco,mist
2012-10-15,Seattle,overcast clouds
2012-10-15,Tel Aviv District,sky is clear
2012-10-15,Toronto,mist
2012-10-15,Vancouver,sky is clear
2012-10-16,Albuquerque,sky is clear
2012-10-16,Atlanta,sky is clear
2012-10-16,Beersheba,sky is clear
2012-10-16,Boston,sky is clear
2012-10-16,Charlotte,overcast clouds
2012-10-16,Chicago,overcast clouds
2012-10-16,Dallas,sky is clear
2012-10-16,Denver,sky is clear
2012-10-16,Detroit,overcast clouds
2012-10-16,Eilat,sky is clear
2012-10-16,Haifa,sky is clear
2012-10-16,Houston,broken clouds
2012-10-16,Indianapolis,overcast clouds
2012-10-16,Jacksonville,broken clouds
2012-10-16,Jerusalem,sky is clear
2012-10-16,Kansas City,sky is clear
2012-10-16,Las Vegas,sky is clear
2012-10-16,Los Angeles,sky is clear
2012-10-16,Miami,light rain
2012-10-16,Minneapolis,broken clouds
2012-10-16,Montreal,mist
2012-10-16,Nahariyya,sky is clear
2012-10-16,Nashville,scattered clouds
2012-10-16,New York,broken clouds
2012-10-16,Philadelphia,overcast clouds
2012-10-16,Phoenix,sky is clear
2012-10-16,Pittsburgh,overcast clouds
2012-10-16,Portland,light rain
2012-10-16,Saint Louis,sky is clear
2012-10-16,San Antonio,sky is clear
2012-10-16,San Diego,sky is clear
2012-10-16,San Francisco,mist
2012-10-16,Seattle,overcast clouds
2012-10-16,Tel Aviv District,sky is clear
2012-10-16,Toronto,sky is clear
2012-10-16,Vancouver,sky is clear
2012-10-17,Albuquerque,sky is clear
2012-10-17,Atlanta,sky is clear
2012-10-17,Beersheba,sky is clear
2012-10-17,Boston,sky is clear
2012-10-17,Charlotte,sky is clear
2012-10-17,Chicago,sky is clear
2012-10-17,Dallas,sky is clear
2012-10-17,Denver,sky is clear
2012-10-17,Detroit,sky is clear
2012-10-17,Eilat,sky is clear
2012-10-17,Haifa,sky is clear
2012-10-17,Houston,mist
2012-10-17,Indianapolis,sky is clear
2012-10-17,Jacksonville,few clouds
2012-10-17,Jerusalem,sky is clear
2012-10-17,Kansas City,sky is clear
2012-10-17,Las Vegas,sky is clear
2012-10-17,Los Angeles,sky is clear
2012-10-17,Miami,scattered clouds
2012-10-17,Minneapolis,overcast clouds
2012-10-17,Montreal,sky is clear
2012-10-17,Nahariyya,sky is clear
2012-10-17,Nashville,sky is clear
2012-10-17,New York,sky is clear
2012-10-17,Philadelphia,sky is clear
2012-10-17,Phoenix,sky is clear
2012-10-17,Pittsburgh,overcast clouds
2012-10-17,Portland,sky is clear
2012-10-17,Saint Louis,sky is clear
2012-10-17,San Antonio,sky is clear
2012-10-17,San Diego,mist
2012-10-17,San Francisco,mist
2012-10-17,Seattle,sky is clear
2012-10-17,Tel Aviv District,sky is clear
2012-10-17,Toronto,sky is clear
2012-10-17,Vancouver,sky is clear
2012-10-18,Albuquerque,sky is clear
2012-10-18,Atlanta,sky is clear
2012-10-18,Beersheba,sky is clear
2012-10-18,Boston,sky is clear
2012-10-18,Charlotte,few clouds
2012-10-18,Chicago,broken clouds
2012-10-18,Dallas,overcast clouds
2012-10-18,Denver,sky is clear
2012-10-18,Detroit,sky is clear
2012-10-18,Eilat,sky is clear
2012-10-18,Haifa,sky is clear
2012-10-18,Houston,mist
2012-10-18,Indianapolis,broken clouds
2012-10-18,Jacksonville,broken clouds
2012-10-18,Jerusalem,sky is clear
2012-10-18,Kansas City,sky is clear
2012-10-18,Las Vegas,sky is clear
2012-10-18,Los Angeles,sky is clear
2012-10-18,Miami,broken clouds
2012-10-18,Minneapolis,overcast clouds
2012-10-18,Montreal,sky is clear
2012-10-18,Nahariyya,sky is clear
2012-10-18,Nashville,sky is clear
2012-10-18,New York,broken clouds
2012-10-18,Philadelphia,sky is clear
2012-10-18,Phoenix,sky is clear
2012-10-18,Pittsburgh,sky is clear
2012-10-18,Portland,scattered clouds
2012-10-18,Saint Louis,sky is clear
2012-10-18,San Antonio,mist
2012-10-18,San Diego,few clouds
2012-10-18,San Francisco,mist
2012-10-18,Seattle,sky is clear
2012-10-18,Tel Aviv District,sky is clear
2012-10-18,Toronto,sky is clear
2012-10-18,Vancouver,sky is clear
2012-10-19,Albuquerque,sky is clear
2012-10-19,Atlanta,sky is clear
2012-10-19,Beersheba,sky is clear
2012-10-19,Boston,sky is clear
2012-10-19,Charlotte,mist
2012-10-19,Chicago,overcast clouds
2012-10-19,Dallas,sky is clear
2012-10-19,Denver,sky is clear
2012-10-19,Detroit,light rain
2012-10-19,Eilat,sky is clear
2012-10-19,Haifa,sky is clear
2012-10-19,Houston,broken clouds
2012-10-19,Indianapolis,broken clouds
2012-10-19,Jacksonville,scattered clouds
2012-10-19,Jerusalem,sky is clear
2012-10-19,Kansas City,sky is clear
2012-10-19,Las Vegas,sky is clear
2012-10-19,Los Angeles,sky is clear
2012-10-19,Miami,broken clouds
2012-10-19,Minneapolis,overcast clouds
2012-10-19,Montreal,sky is clear
2012-10-19,Nahariyya,sky is clear
2012-10-19,Nashville,scattered clouds
2012-10-19,New York,broken clouds
2012-10-19,Philadelphia,few clouds
2012-10-19,Phoenix,sky is clear
2012-10-19,Pittsburgh,sky is clear
2012-10-19,Portland,broken clouds
2012-10-19,Saint Louis,sky is clear
2012-10-19,San Antonio,sky is clear
2012-10-19,San Diego,broken clouds
2012-10-19,San Francisco,sky is clear
2012-10-19,Seattle,sky is clear
2012-10-19,Tel Aviv District,sky is clear
2012-10-19,Toronto,sky is clear
2012-10-19,Vancouver,sky is clear
2012-10-20,Albuquerque,sky is clear
2012-10-20,Atlanta,sky is clear
2012-10-20,Beersheba,sky is clear
2012-10-20,Boston,mist
2012-10-20,Charlotte,mist
2012-10-20,Chicago,light rain
2012-10-20,Dallas,sky is clear
2012-10-20,Denver,sky is clear
2012-10-20,Detroit,overcast clouds
2012-10-20,Eilat,sky is clear
2012-10-20,Haifa,sky is clear
2012-10-20,Houston,sky is clear
2012-10-20,Indianapolis,overcast clouds
2012-10-20,Jacksonville,broken clouds
2012-10-20,Jerusalem,sky is clear
2012-10-20,Kansas City,overcast clouds
2012-10-20,Las Vegas,sky is clear
2012-10-20,Los Angeles,sky is clear
2012-10-20,Miami,broken clouds
2012-10-20,Minneapolis,light intensity drizzle
2012-10-20,Montreal,sky is clear
2012-10-20,Nahariyya,sky is clear
2012-10-20,Nashville,sky is clear
2012-10-20,New York,moderate rain
2012-10-20,Philadelphia,overcast clouds
2012-10-20,Phoenix,sky is clear
2012-10-20,Pittsburgh,mist
2012-10-20,Portland,overcast clouds
2012-10-20,Saint Louis,light rain
2012-10-20,San Antonio,sky is clear
2012-10-20,San Diego,few clouds
2012-10-20,San Francisco,mist
2012-10-20,Seattle,mist
2012-10-20,Tel Aviv District,sky is clear
2012-10-20,Toronto,mist
2012-10-20,Vancouver,sky is clear
2012-10-21,Albuquerque,sky is clear
2012-10-21,Atlanta,sky is clear
2012-10-21,Beersheba,sky is clear
2012-10-21,Boston,sky is clear
2012-10-21,Charlotte,sky is clear
2012-10-21,Chicago,scattered clouds
2012-10-21,Dallas,sky is clear
2012-10-21,Denver,overcast clouds
2012-10-21,Detroit,broken clouds
2012-10-21,Eilat,scattered clouds
2012-10-21,Haifa,sky is clear
2012-10-21,Houston,sky is clear
2012-10-21,Indianapolis,overcast clouds
2012-10-21,Jacksonville,sky is clear
2012-10-21,Jerusalem,sky is clear
2012-10-21,Kansas City,sky is clear
2012-10-21,Las Vegas,sky is clear
2012-10-21,Los Angeles,broken clouds
2012-10-21,Miami,sky is clear
2012-10-21,Minneapolis,broken clouds
2012-10-21,Montreal,scattered clouds
2012-10-21,Nahariyya,sky is clear
2012-10-21,Nashville,broken clouds
2012-10-21,New York,sky is clear
2012-10-21,Philadelphia,scattered clouds
2012-10-21,Phoenix,sky is clear
2012-10-21,Pittsburgh,overcast clouds
2012-10-21,Portland,scattered clouds
2012-10-21,Saint Louis,sky is clear
2012-10-21,San Antonio,broken clouds
2012-10-21,San Diego,overcast clouds
